BILBAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
1 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;2;0;;
2 Mar.;;0;0;4;0;0;;0;0;;0;;0;2;2;;0;;0;1;3;;0;;;0;0;0;;1;0;;40;0;0;0;0;0;0;0;1;;0;0;;0;0;1;55;0;;
3 Mar.;;0;0;16;0;0;;0;0;;0;;0;19;2;;0;;0;0;5;;0;;;0;0;0;;1;0;;79;0;0;1;0;0;0;0;10;;0;0;;0;0;3;136;0;;
4 Mar.;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;1;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;1;6;1;;
5 Mar.;;0;0;0;0;0;;0;0;;0;;0;1;2;;0;;0;1;0;;0;;;0;0;0;;0;0;;1;0;0;0;1;0;0;0;0;;0;0;;0;0;0;6;0;;
6 Mar.;;0;0;14;0;0;;0;0;;0;;0;17;19;;0;;0;0;9;;0;;;0;0;0;;0;0;;46;0;0;0;1;0;0;0;1;;0;0;;1;0;2;110;0;;
7 Mar.;;0;0;1;0;0;;0;0;;0;;0;11;13;;0;;0;0;10;;0;;;0;0;0;;0;0;;44;0;0;0;1;0;0;0;1;;0;0;;0;0;2;83;0;;
8 Mar.;;0;0;7;0;0;;0;0;;0;;0;21;91;;0;;0;0;30;;0;;;0;0;0;;1;0;;97;0;0;0;3;0;0;0;4;;0;0;;1;0;2;257;0;;
9 Mar.;;0;0;1;0;0;;0;0;;0;;0;11;26;;0;;0;0;11;;0;;;0;0;0;;1;0;;29;0;0;0;1;0;0;0;2;;0;0;;0;0;5;87;1;;
10 Mar.;;0;0;1;0;0;;0;0;;0;;0;10;44;;0;;0;0;4;;0;;;0;0;0;;1;0;;19;0;0;0;0;0;0;0;6;;0;0;;1;0;4;90;1;;
11 Mar.;;0;0;2;0;0;;0;0;;0;;0;2;14;;0;;0;0;8;;0;;;0;0;0;;1;0;;21;0;0;1;0;0;0;0;1;;0;0;;0;0;1;51;1;;
12 Mar.;;0;0;2;0;0;;0;0;;0;;0;15;67;;0;;0;0;26;;0;;;0;1;0;;1;0;;217;1;0;0;1;0;0;0;23;;0;0;;1;0;1;356;0;;
13 Mar.;;0;0;2;0;0;;0;0;;0;;0;11;156;;0;;1;0;31;;0;;;0;1;0;;5;0;;71;0;0;1;5;0;0;0;5;;0;0;;2;0;8;299;1;;
14 Mar.;;0;0;0;0;0;;0;0;;0;;0;4;20;;0;;0;0;13;;0;;;0;1;0;;2;0;;8;0;1;1;0;0;0;0;1;;0;0;;2;0;6;59;1;;
