DONOSTIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,014;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
1   Ene.;;0;0;0;0;0;;0;0;;0;;0;2;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5;0;;
2   Ene.;;0;0;0;0;0;;0;0;;0;;0;8;20;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;28;0;;
3   Ene.;;0;0;0;0;0;;0;0;;0;;0;7;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1;;0;0;;0;0;0;10;0;;
4   Ene.;;0;0;0;0;0;;0;0;;0;;0;5;1;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7;0;;
5   Ene.;;0;0;0;0;0;;0;0;;0;;0;10;8;;0;;0;0;1;;0;;;0;0;0;;2;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;22;0;;
6   Ene.;;0;0;0;0;0;;0;0;;0;;0;9;10;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;1;23;0;;
7   Ene.;;0;0;0;0;0;;0;0;;0;;0;9;15;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;24;0;;
8   Ene.;;0;0;1;0;0;;0;0;;0;;0;31;92;;0;;0;0;2;;0;;;0;0;0;;1;0;;0;0;0;0;0;1;0;0;0;;0;0;;0;0;1;129;0;;
9   Ene.;;0;0;0;0;0;;0;0;;0;;0;3;11;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;15;0;;
10 Ene.;;0;0;1;0;0;;0;0;;0;;0;2;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
11 Ene.;;0;0;4;0;0;;0;0;;0;;0;16;5;;0;;0;0;0;;0;;;0;0;0;;1;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;26;1;;
12 Ene.;;0;0;2;0;0;;0;0;;0;;0;25;4;;1;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;33;0;;
13 Ene.;;0;0;2;0;0;;0;0;;0;;0;13;8;;0;;0;0;2;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1;;0;0;;0;0;0;26;0;;
14 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
15 Ene.;;0;0;2;0;0;;0;0;;0;;0;19;5;;0;;0;0;1;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1;;0;0;;0;0;0;28;0;;
16 Ene.;;0;0;2;0;0;;0;0;;0;;0;19;8;;0;;0;0;1;;0;;;0;0;0;;0;0;;1;0;0;1;0;0;0;0;1;;0;0;;0;0;0;33;0;;
17 Ene.;;0;0;5;0;0;;0;0;;0;;0;8;19;;0;;0;0;1;;0;;;0;1;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;35;0;;
18 Ene.;;0;0;0;0;0;;0;0;;0;;0;4;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
19 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
20 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
21 Ene.;;0;0;7;0;0;;0;0;;0;;0;11;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;4;0;0;0;0;0;0;0;0;;0;0;;0;0;0;23;0;;
22 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
23 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
24 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
25 Ene.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
26 Ene.;;0;0;4;0;0;;0;0;;0;;0;4;3;;0;;0;0;0;;0;;;0;0;0;;0;0;;20;0;0;0;0;0;0;0;0;;0;0;;0;0;0;31;0;;
